formats,fonction,nom,statut,parent,wikidata_entity,secteur,licence,referent,composant,mots-clefs,cas-usage,utilisateurs,groupe,version
,SSO,LemonLDAP::NG,R,,,Sécurité,,,Authentification,,Serveur Bureautique,,MIMPROD,Distribution
,Gestion des logs en mode centralisé,Logstash,R,,Q17620247,Sécurité,Apache-2.0,,Gestion des logs,,Serveur Bureautique,,MIMPROD,6.x
,Gestion des logs en mode centralisé,Kibana,R,,Q21156460,Sécurité,Apache-2.0,,Gestion des logs,,Serveur Bureautique,,MIMPROD,6.x
,Gestion des logs en mode centralisé,Syslog-ng,R,,,Sécurité,,,Gestion des logs,,Serveur Bureautique,,MIMPROD,Distribution
,Pare-feu réseau et web,Eole AMON,R,,,Réseau,,,Pare-feu – Réseau,,Services déconcentrés,,MIMPROD,2.7
,Serveur Web & Reverse Proxy,Apache HTTP Server,R,,Q11354,Réseau,,,Serveur Web & 'Reverse Proxy,,Services déconcentrés,,MIMPROD,Distribution
,Reverse Proxy,Nginx,R,,,Réseau,,,Serveur Web & 'Reverse Proxy,,Services déconcentrés,,MIMPROD,Distribution
,Proxy,Squid,R,,,Réseau,,,Serveur Web & 'Reverse Proxy,,Services déconcentrés,,MIMPROD,Distribution
,Cache web,Varnish,R,,,Réseau,,,Serveur Web & 'Reverse Proxy,,Services déconcentrés,,MIMPROD,Distribution
,Load Balancer,HAProxy,R,,,Réseau,,,Load Balancer,,Services déconcentrés,,MIMPROD,Distribution
,Serveur d'impression,Cups,R,,,Intégration & Échanges,,,Serveur d'impression,,Services déconcentrés,,MIMPROD,Distribution
,Messagerie system,Postfix,R,,,Intégration & Échanges,,,Serveur SMTP,,Services déconcentrés,,MIMPROD,Distribution
,Sauvegadre Serveurs,Bareos,R,,,Sauvegarde,,,Sauvegarde Serveur,,Services déconcentrés,,MIMPROD,Distribution
,Stockage Objet,Swift (OpenStack),R,,,Stockage,,,Sauvegarde Serveur,,Services déconcentrés,,MIMPROD,Distribution
,Stockage block,Ceph,R,,,Stockage,,,Sauvegarde Serveur,,Services déconcentrés,,MIMPROD,Distribution
,Déploiement,SaltStack,R,,,Opérations,,,Outils système & virtualisation,,Services déconcentrés,,MIMPROD,Distribution
,Déploiement,Ansible,R,,Q2852503,Opérations,,,Outils système & virtualisation,,Services déconcentrés,,MIMPROD,Distribution
,Conteneurs logiciels,Docker,R,,,Opérations,,,Outils système & virtualisation,,Services déconcentrés,,MIMPROD,Distribution
,Orchestration,Kubernetes,R,,,Opérations,,,Outils système & virtualisation,,conteneurs,,MIMPROD,Distribution
,Outils VisoConférence,Jitsi,R,,,Espace utilisateur et canal,,,Visiophonie,,,,MIMPROD,Distribution
,Base transactionnelle cluster,CockroachDB,O,,,Données et contenu,,,BD Relationnelles,,Base de production,,MIMPROD,2
,Annuaire,OpenLdap,O,,,Sécurité,,,Authentification,,Serveur Bureautique,,MIMPROD,0
,IAM,Keycloak,O,,,Sécurité,,,Authentification,,Serveur Bureautique,,MIMPROD,4
,Stockage Securisé,Vault,O,,,Stockage,,,Sauvegarde Serveur,,Services déconcentrés,,MIMPROD,
,Déploiement,Consul,O,,,Opérations,,,Outils système & virtualisation,,Services déconcentrés,,MIMPROD,Distribution
,Déploiement,Packer,O,,,Opérations,,,Outils système & virtualisation,,Services déconcentrés,,MIMPROD,Distribution
,Orchestration,Swarm,O,,,Opérations,,,Outils système & virtualisation,,conteneurs,,MIMPROD,Distribution
,Orchestration,Rundeck,O,,,Opérations,,,Outils système & virtualisation,,conteneurs,,MIMPROD,Distribution
